# Hailo AI People Counter Data - Generated by Vision/main.py
# This file contains people detection statistics for charting and analysis
"# Format: Timestamp, Minute, Hour, Day, People_This_Minute, People_This_Hour, People_This_Day, Total_Unique_People"

Timestamp,Minute,Hour,Day,People_This_Minute,People_This_Hour,People_This_Day,Total_Unique_People
2025-07-29 03:54:42,29229654,487160,20298,1,1,1,1
2025-07-29 03:54:47,29229654,487160,20298,2,2,2,2
2025-07-29 03:54:52,29229654,487160,20298,3,3,3,3
2025-07-29 03:55:00,29229655,487160,20298,3,3,3,3
2025-07-29 03:55:00,29229655,487160,20298,1,4,4,4
2025-07-29 03:55:12,29229655,487160,20298,2,5,5,5
